#,Name,Notes,Player,,Date,Player Video,Difficulty,verifier?
,Electroman Adventures ,"keyboard; 1st, 2nd, 3rd coin",veinti.28,,2026-04-29,https://www.instagram.com/p/DXupal-iYKq/,insane,
,xStep,iPad,AlphaLynx,,2025-11-19,https://www.instagram.com/reel/DRN_WOEgeRf/,insane,y
,xStep,iPad; 1st coin,resonance.society,,2026-04-06,https://www.tiktok.com/@resonance.society/video/7625398926719438100,insane,
,Back on Track 2 hands,iPad,OllieCR,,2025-12-11,https://www.instagram.com/p/DSIPNNkjDuV/,easy,
,Nock Em,iPad,Pianotopian,,2025-12-22,https://www.youtube.com/watch?v=xQQnB5pVSMQ,hard,y
,MikuMikuMikuMiku 42%,keyboard,keytoucher1434,,2026-06-26,https://www.instagram.com/p/DaEhhulxR5m/,demon-insane,
,Sakupen Egg 39%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619923602518887711,demon-medium,
,Deadlocked 36%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619922942645816607,demon-medium,
,SpongeBob heart monitor 96%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619924804627352862,unrated,
,Airborne Robots,iPad,Pianotopian,,2025-12-27,https://www.youtube.com/watch?v=6yta8dnduzE,hard,y
,Theory of Everything,iPad,AlphaLynx,,2025-12-05,https://www.youtube.com/shorts/8g5RTuzHY-o,insane,y
,Cycles,"iPad; 1st, 2nd coins",AlphaLynx,,2025-11-15,https://www.instagram.com/reel/DRDmNrZAVHf/,harder,y
,Cycles,"iPad; 1st, 3rd coin",Pianotopian,,2026-05-14,https://www.youtube.com/watch?v=BbuKXmi9s_0,harder,
,Cycles,iPad,resonance.society,,2026-04-05,https://www.tiktok.com/@resonance.society/video/7625073639041289492,harder,
,Cycles,keyboard,veinti.28,,2026-04-14,https://www.instagram.com/p/DXHu3VXj3eU/,harder,
,Dry Out,iPad; all 3 coins,AlphaLynx,,2025-10-19,https://www.instagram.com/reel/DP95TcTklLI/,normal,y
,Dry Out,"iPad; 1st, 2nd coin",resonance.society,,2026-03-30,https://www.tiktok.com/@resonance.society/video/7622935210782461205,normal,
,Dry Out ,iPad,Pianotopian,,2025-11-02,https://www.youtube.com/watch?v=xP6FKVvPEwc,normal,
,Base After Base,"iPhone; 1st, 2nd, 3rd coin",bloonkbok,,2026-06-01,https://www.tiktok.com/@bloonkbok/video/7646191872490196255,hard,
,Base After Base,"Phone; 1st, 2nd, 3rd coin",FreezeMario,,2025-12-17,https://www.youtube.com/watch?v=b0zdRoavmK0,hard,
,Base After Base,iPad; all 3 coins,AlphaLynx,,2025-10-23,https://www.instagram.com/reel/DQIdwYlgWIq/,hard,y
,Base After Base,"iPad; 1st, 2nd, 3rd coin",Pianotopian,,2025-11-09,https://www.youtube.com/watch?v=YesfEqsw8CA,hard,
,Base After Base,iPad; all 3 coins,resonance.society,,2026-03-31,https://www.tiktok.com/@resonance.society/video/7623312752521547028,hard,
,Base After Base,"keyboard; 1st, 2nd, 3rd coin",veinti.28,,2026-05-26,https://www.instagram.com/p/DYyeWz7Mawg/,hard,
,Base After Base,keyboard,Mestra_Flow,,2026-06-29,https://www.tiktok.com/@mestra_flow/video/7656627499916463368,hard,
,Change of Scene 2 hands + foot 74-83%,keyboard,is_that_radders,,2026-02-17,https://www.tiktok.com/@is_that_radders/video/7607618367570136342,demon-easy,
,Polargeist,iPad;,Pianotopian,,2024-12-30,https://www.youtube.com/watch?v=yCS7v3RT9UA,normal,y
,Polargeist,iPad;,AlphaLynx,,2025-10-04,https://www.instagram.com/reel/DPXS41agUC1/,normal,
,Polargeist,iPad; ,resonance.society,,2026-03-29,https://www.tiktok.com/@resonance.society/video/7622486388465847572,normal,
,Viking Arena,iPad,Pianotopian,,2025-12-19,https://www.youtube.com/watch?v=Rcvwsl841Wo,normal,y
,Bloodbath 93-99%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619924513488211230,demon-extreme,
,Bloodbath 7%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619925932614225182,demon-extreme,
,Acu 6%,iPhone,keytoucher1434,,2026-05-26,https://www.instagram.com/p/DY0tpStRwQQ/,demon-extreme,
,Childlike,keyboard,LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619925719782526239,unrated,y
,Bloodbath 4%,iPhone,keytoucher1434,,2025-12-23,https://www.instagram.com/p/DSoByY3kekB/,demon-extreme,
,Bloodbath 16-27%,iPad,OllieCR,,2025-12-13,https://www.instagram.com/p/DSNajvyDOsb/,demon-extreme,
,The Challenge,iPad,Pianotopian,,2025-12-25,https://youtu.be/r5crtpnf894?si=yP-8Y_iSX767hQ3v&t=87,unrated,y
,Stereo Madness,"iPad, beat with toe",shasaid1thing,,2026-01-10,https://www.tiktok.com/@shasaid1thing/video/7593823603011947809,easy,
,Stereo Madness ,"iPhone,",GDNinjaOfficial,,2026-06-10,https://www.youtube.com/shorts/LFj0mjoY1ZE,easy,
,Stereo Madness ,"iPad, all coins",Pianotopian,,2024-06-26,https://www.youtube.com/watch?v=SFGAzy1imEU,easy,y
,Stereo Madness ,"iPad, all coins",AlphaLynx,,2025-09-28,https://www.instagram.com/reel/DPHyQVhElvg/,easy,
,Stereo Madness ,iPad,ollie_r08,,2025-10-03,https://www.tiktok.com/@ollie_r08/video/7557153626964217143,easy,
,Stereo Madness ,iPad; partial clip in video  (46-100),VegtamMusicCovers,,2024-07-26,https://www.youtube.com/shorts/aImgrUp_7tk,easy,
